RunNumber,Turbine,m,YawBrMyp,YawBrMzp
111,2,8,5022,5019
111,2,9,5317,5342
111,2,10,5579,5636
112,1,8,4154,3875
112,1,9,4451,4104
112,1,10,4720,4316
112,2,8,3365,3026
112,2,9,3585,3196
112,2,10,3785,3353
113,1,8,4220,4898
113,1,9,4444,5200
113,1,10,4647,5478
113,2,8,4200,4491
113,2,9,4425,4800
113,2,10,4632,5081
114,1,8,2305,2424
114,1,9,2431,2566
114,1,10,2546,2698
114,2,8,1822,1887
114,2,9,1922,2011
114,2,10,2014,2125
115,1,8,4146,3970
115,1,9,4434,4230
115,1,10,4695,4471
115,2,8,4544,4098
115,2,9,4861,4343
115,2,10,5150,4569
116,1,8,2954,3149
116,1,9,3100,3313
116,1,10,3234,3462
116,2,8,2196,2420
116,2,9,2304,2546
116,2,10,2403,2659
117,1,8,3731,3983
117,1,9,3961,4219
117,1,10,4172,4434
117,2,8,3541,3601
117,2,9,3786,3843
117,2,10,4008,4063
118,1,8,1958,2358
118,1,9,2075,2473
118,1,10,2186,2575
118,2,8,1786,1971
118,2,9,1912,2072
118,2,10,2030,2162
119,1,8,5958,5432
119,1,9,6336,5715
119,1,10,6676,5969
119,2,8,5723,5282
119,2,9,6076,5561
119,2,10,6395,5813
120,1,8,3508,3825
120,1,9,3703,4024
120,1,10,3882,4210
120,2,8,2850,3028
120,2,9,3021,3189
120,2,10,3179,3339
121,1,8,5139,4851
121,1,9,5488,5140
121,1,10,5807,5408
121,2,8,5025,4805
121,2,9,5369,5068
121,2,10,5684,5310
122,1,8,2481,2137
122,1,9,2665,2278
122,1,10,2831,2405
122,2,8,1867,1653
122,2,9,2003,1761
122,2,10,2128,1859
123,1,8,4440,4319
123,1,9,4750,4598
123,1,10,5026,4851
123,2,8,4217,4305
123,2,9,4502,4586
123,2,10,4755,4842
124,1,8,2981,2878
124,1,9,3152,3056
124,1,10,3306,3220
124,2,8,2307,2497
124,2,9,2442,2682
124,2,10,2564,2849
125,1,8,3741,3382
125,1,9,3970,3553
125,1,10,4177,3712
125,2,8,3046,2918
125,2,9,3235,3071
125,2,10,3408,3213
126,1,8,1856,2129
126,1,9,1950,2274
126,1,10,2037,2410
126,2,8,1461,1545
126,2,9,1531,1640
126,2,10,1596,1729
127,1,8,5451,5320
127,1,9,5797,5662
127,1,10,6112,5978
127,2,8,5264,5353
127,2,9,5597,5719
127,2,10,5896,6061
128,1,8,3903,4060
128,1,9,4091,4256
128,1,10,4264,4437
128,2,8,3293,3094
128,2,9,3505,3248
128,2,10,3701,3392
129,1,8,4847,5531
129,1,9,5151,5872
129,1,10,5430,6179
129,2,8,4907,4962
129,2,9,5224,5258
129,2,10,5516,5530
130,1,8,2250,2298
130,1,9,2400,2454
130,1,10,2534,2601
130,2,8,1784,1847
130,2,9,1897,1977
130,2,10,1999,2097
131,1,8,5328,4964
131,1,9,5758,5307
131,1,10,6143,5624
131,2,8,4738,4877
131,2,9,5088,5203
131,2,10,5407,5500
132,1,8,3109,3408
132,1,9,3272,3588
132,1,10,3421,3755
132,2,8,2600,2591
132,2,9,2752,2752
132,2,10,2889,2904
133,1,8,4121,4135
133,1,9,4393,4383
133,1,10,4640,4610
133,2,8,3744,3508
133,2,9,4030,3724
133,2,10,4286,3921
134,1,8,1727,1554
134,1,9,1818,1623
134,1,10,1904,1688
134,2,8,1522,1361
134,2,9,1611,1436
134,2,10,1695,1506
135,1,8,5580,5546
135,1,9,5969,5899
135,1,10,6329,6217
135,2,8,5436,5397
135,2,9,5807,5714
135,2,10,6152,6000
136,1,8,3092,3252
136,1,9,3232,3418
136,1,10,3361,3571
136,2,8,2520,2600
136,2,9,2656,2741
136,2,10,2782,2870
137,1,8,4821,5260
137,1,9,5121,5607
137,1,10,5388,5918
137,2,8,4616,5366
137,2,9,4924,5737
137,2,10,5205,6071
138,1,8,2806,2998
138,1,9,2948,3167
138,1,10,3079,3324
138,2,8,2298,2282
138,2,9,2430,2403
138,2,10,2554,2515
139,1,8,4870,4712
139,1,9,5198,4987
139,1,10,5490,5234
139,2,8,4856,4878
139,2,9,5170,5177
139,2,10,5450,5446
140,1,8,4675,4148
140,1,9,5007,4349
140,1,10,5311,4539
140,2,8,3351,3151
140,2,9,3581,3322
140,2,10,3793,3485
141,1,8,4099,4098
141,1,9,4336,4355
141,1,10,4551,4595
141,2,8,3286,3171
141,2,9,3469,3340
141,2,10,3633,3496
142,1,8,1518,1530
142,1,9,1587,1608
142,1,10,1651,1680
142,2,8,1192,1274
142,2,9,1243,1340
142,2,10,1289,1400
143,1,8,5308,5554
143,1,9,5628,5905
143,1,10,5918,6228
143,2,8,5155,5336
143,2,9,5463,5640
143,2,10,5741,5914
144,1,8,3775,3795
144,1,9,3984,4048
144,1,10,4178,4279
144,2,8,2806,2870
144,2,9,2970,3051
144,2,10,3123,3218
145,1,8,5574,5323
145,1,9,5973,5668
145,1,10,6337,5982
145,2,8,4806,4903
145,2,9,5120,5250
145,2,10,5404,5568
146,1,8,2524,2746
146,1,9,2647,2891
146,1,10,2759,3024
146,2,8,2161,2344
146,2,9,2269,2465
146,2,10,2368,2576
147,1,8,5224,5236
147,1,9,5623,5567
147,1,10,5980,5863
147,2,8,5223,5050
147,2,9,5597,5343
147,2,10,5932,5610
148,1,8,2820,2674
148,1,9,2995,2838
148,1,10,3160,2988
148,2,8,2189,2207
148,2,9,2319,2360
148,2,10,2441,2499
149,1,8,4278,4817
149,1,9,4544,5192
149,1,10,4781,5533
149,2,8,3515,3978
149,2,9,3733,4288
149,2,10,3927,4570
150,1,8,1430,1504
150,1,9,1506,1604
150,1,10,1578,1700
150,2,8,1148,1133
150,2,9,1210,1206
150,2,10,1270,1277
151,1,8,5664,6023
151,1,9,6001,6445
151,1,10,6303,6832
151,2,8,5611,6034
151,2,9,5952,6468
151,2,10,6256,6863
152,1,8,3976,3821
152,1,9,4248,4022
152,1,10,4498,4205
152,2,8,2977,2913
152,2,9,3192,3067
152,2,10,3394,3208
153,1,8,5185,5439
153,1,9,5536,5851
153,1,10,5856,6228
153,2,8,5112,4761
153,2,9,5527,5099
153,2,10,5902,5403
154,1,8,2410,2306
154,1,9,2560,2438
154,1,10,2695,2561
154,2,8,2061,1942
154,2,9,2194,2057
154,2,10,2313,2163
155,1,8,5198,6235
155,1,9,5509,6639
155,1,10,5793,7003
155,2,8,4901,6155
155,2,9,5178,6573
155,2,10,5429,6951
156,1,8,3015,3549
156,1,9,3194,3771
156,1,10,3357,3976
156,2,8,2373,2723
156,2,9,2511,2892
156,2,10,2636,3045
157,1,8,4302,4436
157,1,9,4555,4696
157,1,10,4786,4938
157,2,8,3452,3818
157,2,9,3662,4038
157,2,10,3856,4240
158,1,8,1867,2119
158,1,9,1960,2242
158,1,10,2045,2358
158,2,8,1473,1555
158,2,9,1548,1645
158,2,10,1618,1727
159,1,8,5470,4856
159,1,9,5875,5151
159,1,10,6241,5420
159,2,8,5275,4868
159,2,9,5656,5177
159,2,10,5999,5457
160,1,8,4725,5112
160,1,9,5038,5510
160,1,10,5327,5870
160,2,8,3444,3873
160,2,9,3648,4160
160,2,10,3835,4421
161,1,8,5242,5706
161,1,9,5579,6105
161,1,10,5884,6471
161,2,8,4846,4774
161,2,9,5123,5059
161,2,10,5371,5325
162,1,8,2578,2691
162,1,9,2741,2839
162,1,10,2892,2974
162,2,8,1979,2139
162,2,9,2093,2263
162,2,10,2199,2376
163,1,8,5867,5937
163,1,9,6283,6304
163,1,10,6663,6632
163,2,8,5846,6055
163,2,9,6208,6399
163,2,10,6534,6708
164,1,8,2733,2737
164,1,9,2895,2888
164,1,10,3047,3028
164,2,8,2144,2241
164,2,9,2268,2367
164,2,10,2384,2483
165,1,8,5068,5092
165,1,9,5335,5399
165,1,10,5576,5678
165,2,8,4399,4633
165,2,9,4638,4926
165,2,10,4858,5190
166,1,8,1776,1791
166,1,9,1858,1895
166,1,10,1934,1994
166,2,8,1582,1636
166,2,9,1658,1741
166,2,10,1727,1838
