RunNumber,Turbine,m,TwrBsMxt,TwrBsMyt,TwHt1MLxt,TwHt1MLyt,TwHt2MLxt,TwHt2MLyt,TwHt3MLxt,TwHt3MLyt,TwHt4MLxt,TwHt4MLyt,TwHt5MLxt,TwHt5MLyt,TwHt6MLxt,TwHt6MLyt
1535,1,4,5548,17070,5038,15510,4072,12430,2962,9060,2062,6352,1149,3954,635.7,3075
1535,2,3,4670,12110,4233,10900,3414,8643,2500,6323,1742,4541,989.1,3041,548.8,2655
1535,2,4,5383,15210,4888,13820,3960,11130,2912,8240,2023,5841,1158,3709,673.8,3065
1536,1,3,2967,12810,2718,11630,2218,9340,1615,6634,1074,4361,567.6,2451,289.3,1956
1536,1,4,3455,15130,3168,13760,2592,11120,1889,7900,1255,5147,671.7,2831,366.5,2186
1536,2,3,2065,12920,1889,11770,1533,9522,1115,6843,744.8,4474,396.9,2392,222.6,1683
1536,2,4,2412,15390,2209,14040,1800,11400,1312,8205,875.3,5330,474.4,2796,294.1,1882
1537,1,3,9718,18880,8907,17190,7261,13940,5311,10170,3579,7169,1873,4373,798,3199
1537,1,4,11370,24960,10430,22800,8528,18660,6246,13650,4190,9553,2182,5598,928,3709
1537,2,3,8198,17550,7482,15980,6081,12950,4453,9584,3008,6699,1591,4141,711.2,3117
1537,2,4,9514,22790,8693,20850,7085,17070,5196,12700,3499,8799,1848,5239,832.6,3611
1538,1,3,3003,10960,2710,9788,2158,7616,1574,5411,1138,3880,715.5,2748,517.1,2602
1538,1,4,3543,14170,3205,12830,2577,10290,1897,7422,1382,5147,917.6,3329,723.3,2959
1538,2,3,3845,9968,3527,8934,2878,7022,2112,5031,1420,3512,760.3,2334,403.8,2214
1538,2,4,4520,12590,4150,11390,3401,9170,2498,6642,1677,4526,918.5,2798,553.4,2511
1539,1,3,2195,8649,1961,7698,1518,5896,1116,4198,858.9,3132,595.7,2422,473.2,2402
1539,1,4,2575,11180,2319,10100,1831,7938,1368,5749,1047,4112,745.6,2870,633.3,2668
1539,2,3,2004,8484,1805,7628,1429,5956,1039,4219,752.1,2974,484.4,2158,379,2166
1539,2,4,2324,10800,2103,9764,1680,7775,1230,5588,893.2,3842,613.5,2567,530.1,2432
1540,1,3,1963,10610,1800,9736,1478,8004,1078,5841,710.9,3866,365.8,2057,172.8,1233
1540,1,4,2287,12520,2099,11510,1726,9486,1260,6936,831.9,4583,437,2404,238.4,1360
1540,2,3,1607,9896,1477,9076,1215,7449,886.1,5450,585.9,3597,299.2,1900,146.9,1104
1540,2,4,1859,11600,1709,10650,1408,8776,1028,6428,680.4,4233,353.9,2213,204.2,1211
1541,1,3,8969,15010,8166,13510,6588,10660,4820,7714,3309,5580,1743,3716,729.5,3163
1541,1,4,10800,19640,9860,17740,8010,14130,5860,10270,3980,7273,2058,4551,822.6,3612
1541,2,3,8239,14170,7509,12820,6074,10170,4447,7376,3049,5264,1601,3511,660.8,2964
1541,2,4,9852,18770,9000,17010,7325,13600,5365,9857,3640,6909,1884,4334,749.4,3391
1542,1,3,2493,11180,2262,10050,1809,7928,1333,5678,983.3,3931,669.2,2669,528.2,2597
1542,1,4,3005,14570,2738,13250,2217,10730,1658,7821,1253,5325,926.2,3300,777.5,2938
1542,2,3,2683,10360,2448,9371,1983,7491,1453,5418,1000,3751,598.3,2381,433.9,2159
1542,2,4,3253,13210,2974,12080,2421,9858,1779,7261,1231,4999,795.8,2956,655.2,2442
1543,1,3,3926,12820,3535,11510,2777,9051,2034,6554,1475,4731,876.3,3215,534.4,2810
1543,1,4,4566,16460,4125,14890,3269,11880,2408,8665,1732,6162,1033,3953,679,3217
1543,2,3,3767,11830,3402,10620,2707,8402,1987,6108,1433,4475,865.5,3091,548.5,2698
1543,2,4,4500,15210,4076,13800,3270,11150,2413,8201,1745,5871,1079,3804,724.1,3066
1544,1,3,2661,10010,2443,9115,1998,7342,1463,5272,975.8,3501,521.8,2030,295.9,1662
1544,1,4,3064,12040,2817,11000,2311,8900,1694,6400,1132,4204,625.1,2350,425.1,1859
1544,2,3,2463,9830,2266,8962,1862,7288,1358,5269,901.3,3489,468.4,1942,255.2,1466
1544,2,4,2918,11720,2687,10690,2216,8740,1619,6327,1077,4169,571.2,2263,372.5,1631
1545,1,3,3676,13620,3287,12280,2553,9738,1862,7089,1386,5004,843.3,3231,510,2671
1545,1,4,4262,18040,3836,16320,3016,13060,2212,9521,1615,6632,963,4070,593.4,3067
1545,2,3,6628,13160,6060,11860,4933,9418,3623,6826,2484,4887,1321,3230,583.1,2671
1545,2,4,7686,17160,7041,15540,5743,12470,4231,9069,2893,6408,1545,4039,707.1,3070
1546,1,3,2632,12120,2378,11010,1896,8800,1403,6437,1028,4534,676.2,3039,495.2,2693
1546,1,4,3133,15700,2849,14410,2308,11810,1736,8772,1302,6029,917.4,3735,712.7,3014
1546,2,3,2822,12350,2569,11190,2081,8974,1528,6547,1078,4634,666.1,3011,467.5,2620
1546,2,4,3297,15790,3011,14420,2462,11800,1830,8746,1319,6144,881.4,3717,672.1,2943
1547,1,3,4122,10800,3744,9779,3011,7693,2207,5586,1549,4020,900,2826,556.8,2561
1547,1,4,4811,14230,4379,12990,3535,10500,2603,7702,1833,5354,1107,3453,777.1,2889
1547,2,3,3968,10680,3628,9694,2933,7717,2150,5651,1483,3993,843.1,2659,528,2299
1547,2,4,4661,14400,4269,13170,3465,10740,2548,7967,1765,5559,1050,3427,759.3,2617
1548,1,3,3175,11080,2919,10120,2400,8185,1757,5864,1152,3809,574.9,2036,237.3,1499
1548,1,4,3628,12930,3338,11840,2748,9614,2013,6911,1319,4486,666.2,2376,327.7,1694
1548,2,3,3341,11190,3070,10240,2541,8307,1856,5969,1206,3890,598.4,2060,231.2,1469
1548,2,4,3911,13090,3598,12000,2983,9779,2180,7046,1415,4584,705.4,2416,315.2,1654
1549,1,3,8079,12930,7302,11670,5796,9271,4281,6757,3051,4871,1672,3330,761.2,2856
1549,1,4,9509,15700,8627,14250,6884,11460,5103,8428,3606,5985,1941,3948,853,3282
1549,2,3,7847,13070,7065,11830,5582,9382,4119,6823,2939,4925,1623,3353,750.5,2855
1549,2,4,9253,15960,8350,14540,6640,11670,4918,8544,3473,6074,1884,3987,842.2,3287
1550,1,3,2681,13450,2462,12340,2030,10140,1491,7389,986.2,4872,506.9,2577,245.2,1600
1550,1,4,3133,16160,2882,14870,2383,12270,1753,8974,1164,5900,617,3067,361.3,1807
1550,2,3,2930,13140,2689,12040,2224,9890,1628,7226,1070,4745,536.6,2499,233.1,1502
1550,2,4,3431,15740,3150,14460,2607,11920,1911,8738,1256,5715,638.8,2958,332.7,1697
1551,1,3,7396,12490,6719,11300,5398,9066,3935,6619,2747,4798,1488,3334,648.8,2960
1551,1,4,8471,15610,7711,14200,6224,11550,4540,8493,3152,6061,1697,4006,728.4,3357
1551,2,3,7635,12910,6961,11730,5602,9395,4077,6886,2824,4996,1505,3417,635.2,2975
1551,2,4,8900,16280,8131,14870,6567,12030,4783,8880,3295,6343,1745,4115,723.3,3378
1552,1,3,2406,10330,2171,9231,1723,7175,1279,5120,972.4,3698,663.8,2623,522.2,2419
1552,1,4,2836,13660,2578,12320,2094,9846,1592,7106,1231,5009,894.2,3280,752.6,2744
1552,2,3,2235,10350,2035,9426,1643,7554,1211,5459,866.4,3808,551.4,2454,411.8,2117
