RunNumber,Turbine,m,RootMxb1,RootMyb1,Spn1MLxb1,Spn1MLyb1,Spn2MLxb1,Spn2MLyb1,Spn3MLxb1,Spn3MLyb1,Spn4MLxb1,Spn4MLyb1,Spn5MLxb1,Spn5MLyb1,Spn6MLxb1,Spn6MLyb1
1339,2,10,6622,7918,5071,7320,3098,4939,1472,2651,511.5,1121,82.09,242.5,1.244,4.623
1339,2,11,6738,8242,5176,7611,3166,5152,1505,2770,523.3,1173,84.04,254.1,1.273,4.846
1339,2,12,6839,8538,5271,7877,3227,5349,1535,2880,533.9,1221,85.81,264.7,1.299,5.049
1339,2,13,6928,8808,5357,8123,3282,5530,1562,2980,543.6,1264,87.43,274.3,1.324,5.234
1340,1,9,6278,4728,4963,4694,2928,3120,1321,1668,439.7,704.5,68.69,148.6,1.009,2.691
1340,1,10,6420,5041,5068,4992,2991,3326,1351,1781,450.4,751.6,70.56,157.9,1.037,2.861
1340,1,11,6541,5321,5157,5262,3044,3510,1376,1882,459.8,793.6,72.21,166.2,1.061,3.012
1340,1,12,6646,5571,5232,5505,3089,3675,1398,1972,468,831.1,73.71,173.6,1.084,3.148
1340,1,13,6739,5796,5298,5724,3129,3824,1417,2053,475.4,864.5,75.07,180.2,1.104,3.269
1340,2,9,6077,3946,4811,3938,2834,2622,1269,1401,418.6,581.4,64.87,117.7,0.9413,2.072
1340,2,10,6214,4218,4918,4198,2898,2801,1298,1497,428.6,621.3,66.57,125.2,0.9672,2.202
1340,2,11,6331,4460,5008,4434,2951,2962,1323,1583,437.2,656.9,68.06,132,0.99,2.32
1340,2,12,6431,4676,5084,4649,2997,3107,1344,1660,444.7,688.7,69.38,138.1,1.01,2.425
1340,2,13,6519,4868,5150,4843,3037,3238,1363,1729,451.3,717.2,70.58,143.6,1.029,2.52
1341,1,9,6753,7803,5135,7498,3074,5201,1429,2875,499,1215,83.39,248.2,1.279,4.436
1341,1,10,6903,8174,5246,7856,3142,5462,1463,3028,512.5,1283,86.1,262,1.322,4.68
1341,1,11,7034,8506,5343,8178,3202,5699,1493,3168,524.7,1345,88.59,274.6,1.361,4.904
1341,1,12,7150,8806,5428,8470,3256,5914,1521,3295,536,1402,90.9,286.1,1.398,5.109
1341,1,13,7256,9078,5505,8735,3304,6111,1546,3411,546.4,1453,93.03,296.7,1.432,5.298
1341,2,9,6672,6664,5160,6406,3074,4462,1420,2471,493.1,1040,81.58,213,1.249,3.728
1341,2,10,6818,6975,5269,6696,3141,4673,1452,2593,505.3,1095,83.92,224.1,1.287,3.912
1341,2,11,6944,7259,5362,6962,3199,4866,1480,2704,516.2,1146,86.05,234.4,1.321,4.083
1341,2,12,7056,7520,5444,7208,3249,5043,1505,2807,525.9,1193,88.01,244,1.353,4.242
1341,2,13,7156,7759,5517,7435,3295,5207,1528,2902,534.8,1237,89.84,252.9,1.382,4.389
1342,1,9,6097,3860,4840,3695,2859,2444,1298,1305,433.9,560,67.58,117,0.9813,2.077
1342,1,10,6240,4110,4953,3904,2928,2589,1332,1384,446.6,595.2,69.72,124,1.014,2.202
1342,1,11,6362,4337,5050,4094,2987,2721,1361,1457,458,627.4,71.66,130.4,1.044,2.318
1342,1,12,6467,4540,5133,4265,3038,2841,1387,1523,468.5,656.7,73.44,136.3,1.071,2.424
1342,1,13,6559,4724,5206,4421,3084,2949,1411,1584,478.1,683.3,75.08,141.7,1.097,2.521
1342,2,9,5967,3743,4741,3635,2785,2394,1246,1274,408.7,545.8,62.52,113.7,0.9024,1.96
1342,2,10,6105,3983,4850,3844,2850,2533,1275,1348,418.7,578.7,64.14,120.2,0.927,2.063
1342,2,11,6222,4200,4942,4033,2904,2659,1300,1416,427.2,608.6,65.52,126.2,0.9483,2.16
1342,2,12,6321,4396,5021,4205,2951,2773,1322,1476,434.6,635.6,66.74,131.6,0.9672,2.25
