Run,Turbine,Seed,meanU,Ti,alpha,HFlowAng,distBetweenWTG
110,2,1,4.221746,36.6775665,-0.099,-1.485,3
111,1,1,17.6570778,15.1169996,0.13,1.928,3
111,2,1,16.4153061,15.6758156,0.13,1.928,3
112,1,1,9.9826136,16.4880009,0.133,-0.078,3
112,2,1,7.011755,22.3094635,0.133,-0.078,3
113,1,1,12.019722,16.7409992,0.048,-2.502,3
113,2,1,9.1446104,20.5971146,0.048,-2.502,3
114,1,1,5.9839168,21.8829994,0.139,-2.105,3
114,2,1,4.2077765,27.5469284,0.139,-2.105,3
115,1,1,14.0260725,15.3950005,0.033,-1.334,3
115,2,1,11.8906469,17.3184414,0.033,-1.334,3
116,1,1,7.2733212,22.0340004,0.16,-1.108,3
116,2,1,5.1411018,27.7892838,0.16,-1.108,3
117,1,1,11.2262135,14.7209997,0.182,2.492,3
117,2,1,8.1321859,20.172327,0.182,2.492,3
118,1,1,4.9074826,26.4029999,-0.164,-5.101,3
118,2,1,3.6972787,35.4010582,-0.164,-5.101,3
119,1,1,21.4814129,13.9169998,0.183,1.648,3
119,2,1,20.5600433,14.4466963,0.183,1.648,3
120,1,1,8.8060694,21.0639992,0.04,-1.006,3
120,2,1,6.3106308,26.18993,0.04,-1.006,3
121,1,1,12.7652941,16.3320007,0.223,0.052,3
121,2,1,10.1666269,19.305954,0.223,0.052,3
122,1,1,6.7015557,23.3530006,0.143,-1.187,3
122,2,1,5.1438785,26.4527149,0.143,-1.187,3
123,1,1,16.1607323,14.8310003,0.115,-1.488,3
123,2,1,14.7030821,15.8109388,0.115,-1.488,3
124,1,1,8.3937912,17.0499992,0.139,-2.082,3
124,2,1,5.9327374,22.6816425,0.139,-2.082,3
125,1,1,10.4690247,16.3850002,0.204,2.35,3
125,2,1,7.4577169,22.0088921,0.204,2.35,3
126,1,1,5.0628681,24.7439995,0.376,-1.866,3
126,2,1,3.7308376,28.8111858,0.376,-1.866,3
127,1,1,17.2379704,16.5970001,0.12,0.655,3
127,2,1,15.8542757,16.9310837,0.12,0.655,3
128,1,1,9.4022026,19.1340008,0.283,0.591,3
128,2,1,6.5567312,25.3595181,0.283,0.591,3
129,1,1,12.4400311,19.2770004,0.227,0.578,3
129,2,1,9.7722511,22.5400581,0.227,0.578,3
130,1,1,6.2331991,23.2080002,0.055,-1.052,3
130,2,1,4.5574732,27.8067608,0.055,-1.052,3
131,1,1,14.6816473,16.3999996,0.169,-0.285,3
131,2,1,12.7090454,17.8555279,0.169,-0.285,3
132,1,1,7.8976898,22.9880009,-0.152,-2.226,3
132,2,1,5.739655,27.5529957,-0.152,-2.226,3
133,1,1,11.1139517,15.4820004,0.248,-1.114,3
133,2,1,8.0769749,20.5768833,0.248,-1.114,3
134,1,1,3.955142,30.2779999,0.222,-3.516,3
134,2,1,3.0138173,38.584465,0.222,-3.516,3
